id,id_farmacia,id_cliente,fecha,id_producto,cantidad
28,12,108,2026-01-20,81,5
28,12,108,2026-01-20,241,3
28,12,108,2026-01-20,327,3
28,12,108,2026-01-20,390,4
29,30,1526,2026-01-10,49,1
29,30,1526,2026-01-10,201,1
29,30,1526,2026-01-10,204,1
29,30,1526,2026-01-10,363,2
30,7,2794,2026-01-10,204,3
31,18,2407,2026-01-10,109,3
32,11,294,2026-01-18,345,1
32,11,294,2026-01-18,301,4
32,11,294,2026-01-18,312,2
33,3,2222,2026-01-11,323,5
33,3,2222,2026-01-11,108,3
33,3,2222,2026-01-11,187,1
33,3,2222,2026-01-11,333,2
34,29,158,2026-01-11,143,4
34,29,158,2026-01-11,199,1
34,29,158,2026-01-11,168,1
34,29,158,2026-01-11,257,3
35,29,2761,2026-01-18,294,4
35,29,2761,2026-01-18,248,3
35,29,2761,2026-01-18,18,4
35,29,2761,2026-01-18,174,2
36,5,240,2026-01-20,6,1
36,5,240,2026-01-20,181,1
36,5,240,2026-01-20,37,3
36,5,240,2026-01-20,348,1
36,5,240,2026-01-20,243,1
37,4,819,2026-01-19,331,2
37,4,819,2026-01-19,392,2
37,4,819,2026-01-19,266,3
37,4,819,2026-01-19,374,1
37,4,819,2026-01-19,53,5
38,10,1720,2026-01-16,126,2
38,10,1720,2026-01-16,208,5
38,10,1720,2026-01-16,258,4
38,10,1720,2026-01-16,352,5
38,10,1720,2026-01-16,134,5
39,6,1376,2026-01-14,248,5
39,6,1376,2026-01-14,348,4
39,6,1376,2026-01-14,165,4
39,6,1376,2026-01-14,377,2
39,6,1376,2026-01-14,192,5
40,12,2303,2026-01-15,341,1
40,12,2303,2026-01-15,100,2
40,12,2303,2026-01-15,198,3
40,12,2303,2026-01-15,220,2
41,13,1004,2026-01-13,51,4
41,13,1004,2026-01-13,364,1
41,13,1004,2026-01-13,394,3
41,13,1004,2026-01-13,315,3
41,13,1004,2026-01-13,75,3
42,26,60,2026-01-17,384,2
42,26,60,2026-01-17,169,4
42,26,60,2026-01-17,41,1
42,26,60,2026-01-17,179,3
42,26,60,2026-01-17,181,3
43,23,1547,2026-01-19,153,1
43,23,1547,2026-01-19,80,4
43,23,1547,2026-01-19,112,3
43,23,1547,2026-01-19,77,2
43,23,1547,2026-01-19,53,4
44,30,1345,2026-01-18,332,1
45,17,2556,2026-01-18,229,4
45,17,2556,2026-01-18,24,4
45,17,2556,2026-01-18,69,1
45,17,2556,2026-01-18,163,1
46,16,667,2026-01-13,252,5
47,9,414,2026-01-16,186,1
47,9,414,2026-01-16,198,4
47,9,414,2026-01-16,121,5
47,9,414,2026-01-16,124,1
47,9,414,2026-01-16,113,2
48,4,479,2026-01-13,390,3
48,4,479,2026-01-13,228,5
48,4,479,2026-01-13,205,4
49,20,296,2026-01-12,9,3
49,20,296,2026-01-12,160,1
50,29,2087,2026-01-17,23,5
50,29,2087,2026-01-17,95,4
50,29,2087,2026-01-17,397,1
50,29,2087,2026-01-17,372,1
50,29,2087,2026-01-17,86,5
51,11,1510,2026-01-11,35,2
52,23,706,2026-01-13,124,2
52,23,706,2026-01-13,348,1
53,23,807,2026-01-20,197,4
53,23,807,2026-01-20,116,5
53,23,807,2026-01-20,360,1
53,23,807,2026-01-20,373,1
54,15,1795,2026-01-16,1,3
55,16,2712,2026-01-12,78,5
55,16,2712,2026-01-12,71,5
55,16,2712,2026-01-12,211,1
56,15,1387,2026-01-15,159,4
56,15,1387,2026-01-15,56,1
57,21,2994,2026-01-20,176,5
57,21,2994,2026-01-20,61,5
57,21,2994,2026-01-20,65,4
57,21,2994,2026-01-20,26,4
57,21,2994,2026-01-20,212,2
58,12,2758,2026-01-10,11,4
58,12,2758,2026-01-10,180,5
58,12,2758,2026-01-10,264,4
59,9,658,2026-01-14,80,1
59,9,658,2026-01-14,291,1
59,9,658,2026-01-14,217,4
59,9,658,2026-01-14,232,2
60,8,2838,2026-01-12,361,4
60,8,2838,2026-01-12,335,5
60,8,2838,2026-01-12,227,3
60,8,2838,2026-01-12,345,3
60,8,2838,2026-01-12,287,3
61,4,2498,2026-01-10,308,1
62,9,1714,2026-01-15,111,1
63,1,46,2026-01-20,205,4
63,1,46,2026-01-20,104,1
64,22,1572,2026-01-15,277,2
64,22,1572,2026-01-15,244,4
64,22,1572,2026-01-15,218,2
64,22,1572,2026-01-15,160,3
64,22,1572,2026-01-15,142,2
65,7,256,2026-01-20,391,1
66,4,1007,2026-01-16,367,1
66,4,1007,2026-01-16,379,4
66,4,1007,2026-01-16,367,1
66,4,1007,2026-01-16,128,4
67,7,2339,2026-01-13,209,2
68,17,351,2026-01-11,265,2
68,17,351,2026-01-11,27,1
68,17,351,2026-01-11,17,4
69,14,771,2026-01-20,151,1
69,14,771,2026-01-20,219,3
69,14,771,2026-01-20,135,1
69,14,771,2026-01-20,3,2
70,21,819,2026-01-14,148,4
71,30,2627,2026-01-11,343,3
71,30,2627,2026-01-11,339,3
71,30,2627,2026-01-11,400,5
71,30,2627,2026-01-11,299,3
72,9,2300,2026-01-14,203,3
72,9,2300,2026-01-14,303,5
73,25,1158,2026-01-12,42,3
74,29,2243,2026-01-18,93,4
74,29,2243,2026-01-18,318,1
75,14,976,2026-01-13,194,2
75,14,976,2026-01-13,89,3
75,14,976,2026-01-13,273,3
76,2,521,2026-01-13,158,3
76,2,521,2026-01-13,134,2
76,2,521,2026-01-13,290,1
76,2,521,2026-01-13,303,2
77,3,1916,2026-01-16,262,3
77,3,1916,2026-01-16,350,2
78,22,2173,2026-01-17,126,1
78,22,2173,2026-01-17,36,5
78,22,2173,2026-01-17,38,2
78,22,2173,2026-01-17,370,5
79,25,728,2026-01-13,392,4
79,25,728,2026-01-13,161,5
80,7,295,2026-01-10,86,4
80,7,295,2026-01-10,209,1
80,7,295,2026-01-10,181,2
81,7,25,2026-01-16,73,3
81,7,25,2026-01-16,206,4
81,7,25,2026-01-16,187,2
82,1,1282,2026-01-14,343,2
82,1,1282,2026-01-14,146,5
82,1,1282,2026-01-14,348,1
83,26,1944,2026-01-15,22,1
83,26,1944,2026-01-15,211,5
83,26,1944,2026-01-15,301,2
84,10,1307,2026-01-11,285,1
85,19,635,2026-01-16,365,2
85,19,635,2026-01-16,17,5
85,19,635,2026-01-16,307,2
86,11,741,2026-01-12,254,4
86,11,741,2026-01-12,274,2
86,11,741,2026-01-12,91,2
86,11,741,2026-01-12,146,5
86,11,741,2026-01-12,304,1
87,18,2562,2026-01-19,273,4
88,1,618,2026-01-20,302,5
88,1,618,2026-01-20,156,5
89,7,2093,2026-01-20,301,3
90,15,155,2026-01-20,143,4
91,25,2714,2026-01-17,383,5
91,25,2714,2026-01-17,7,3
91,25,2714,2026-01-17,288,2
91,25,2714,2026-01-17,335,4
91,25,2714,2026-01-17,262,2
92,11,1360,2026-01-11,78,5
92,11,1360,2026-01-11,321,1
92,11,1360,2026-01-11,286,4
93,25,827,2026-01-20,205,1
93,25,827,2026-01-20,288,2
93,25,827,2026-01-20,169,3
93,25,827,2026-01-20,367,4
94,20,2268,2026-01-15,294,1
94,20,2268,2026-01-15,378,3
94,20,2268,2026-01-15,29,2
94,20,2268,2026-01-15,105,3
95,16,1621,2026-01-11,213,1
95,16,1621,2026-01-11,79,1
96,14,97,2026-01-15,369,3
96,14,97,2026-01-15,361,4
97,15,1518,2026-01-20,392,4
97,15,1518,2026-01-20,355,3
98,2,789,2026-01-20,241,2
98,2,789,2026-01-20,43,2
98,2,789,2026-01-20,100,5
98,2,789,2026-01-20,295,5
98,2,789,2026-01-20,231,2
99,7,1335,2026-01-18,357,5
99,7,1335,2026-01-18,293,3
99,7,1335,2026-01-18,29,1
99,7,1335,2026-01-18,195,3
99,7,1335,2026-01-18,155,2
100,17,183,2026-01-17,270,4
101,24,2607,2026-01-18,379,4
101,24,2607,2026-01-18,166,3
102,19,1508,2026-01-17,126,3
102,19,1508,2026-01-17,94,5
102,19,1508,2026-01-17,62,5
102,19,1508,2026-01-17,362,3
103,21,724,2026-01-12,319,5
103,21,724,2026-01-12,46,5
103,21,724,2026-01-12,305,5
104,7,2967,2026-01-14,189,1
104,7,2967,2026-01-14,220,3
105,8,763,2026-01-10,81,5
105,8,763,2026-01-10,131,4
105,8,763,2026-01-10,329,3
105,8,763,2026-01-10,322,1
106,26,410,2026-01-15,8,3
107,11,286,2026-01-15,160,4
108,8,2524,2026-01-11,301,5
108,8,2524,2026-01-11,98,3
108,8,2524,2026-01-11,318,2
108,8,2524,2026-01-11,400,4
108,8,2524,2026-01-11,306,1
109,12,2042,2026-01-15,292,5
109,12,2042,2026-01-15,172,4
109,12,2042,2026-01-15,39,5
110,11,2037,2026-01-13,209,4
111,15,1306,2026-01-20,111,1
111,15,1306,2026-01-20,346,5
111,15,1306,2026-01-20,194,1
111,15,1306,2026-01-20,286,4
111,15,1306,2026-01-20,114,2
112,8,1709,2026-01-13,276,3
113,2,1725,2026-01-10,289,3
113,2,1725,2026-01-10,376,1
113,2,1725,2026-01-10,292,3
114,10,2919,2026-01-12,42,5
114,10,2919,2026-01-12,92,3
115,15,2201,2026-01-17,42,2
115,15,2201,2026-01-17,306,1
115,15,2201,2026-01-17,272,1
115,15,2201,2026-01-17,217,2
115,15,2201,2026-01-17,44,1
116,21,519,2026-01-14,203,5
117,26,1839,2026-01-14,386,3
118,25,571,2026-01-12,289,3
118,25,571,2026-01-12,24,4
118,25,571,2026-01-12,111,2
118,25,571,2026-01-12,55,3
119,9,1345,2026-01-19,336,4
119,9,1345,2026-01-19,38,3
119,9,1345,2026-01-19,351,1
119,9,1345,2026-01-19,84,5
120,8,1091,2026-01-15,128,4
120,8,1091,2026-01-15,339,4
121,15,994,2026-01-19,84,2
121,15,994,2026-01-19,274,5
121,15,994,2026-01-19,83,5
121,15,994,2026-01-19,9,4
121,15,994,2026-01-19,75,5
122,25,315,2026-01-20,357,3
122,25,315,2026-01-20,102,4
122,25,315,2026-01-20,123,4
123,15,1032,2026-01-14,89,4
124,5,367,2026-01-17,91,1
124,5,367,2026-01-17,200,4
124,5,367,2026-01-17,296,1
124,5,367,2026-01-17,306,1
124,5,367,2026-01-17,324,5
125,23,473,2026-01-12,302,3
125,23,473,2026-01-12,303,3
125,23,473,2026-01-12,112,2
125,23,473,2026-01-12,288,4
126,3,1158,2026-01-14,221,1
126,3,1158,2026-01-14,171,4
127,14,2243,2026-01-13,353,4
127,14,2243,2026-01-13,254,5
127,14,2243,2026-01-13,189,2
127,14,2243,2026-01-13,283,3
128,15,1541,2026-01-18,60,1
129,26,729,2026-01-15,88,1
130,13,1433,2026-01-13,193,5
130,13,1433,2026-01-13,90,1
130,13,1433,2026-01-13,237,5
131,30,2188,2026-01-20,312,4
131,30,2188,2026-01-20,26,2
131,30,2188,2026-01-20,355,3
131,30,2188,2026-01-20,127,2
132,10,2662,2026-01-18,95,4
132,10,2662,2026-01-18,381,4
132,10,2662,2026-01-18,262,1
132,10,2662,2026-01-18,33,5
132,10,2662,2026-01-18,363,1
133,8,1797,2026-01-10,1,5
134,13,2803,2026-01-11,219,1
134,13,2803,2026-01-11,205,5
134,13,2803,2026-01-11,96,3
134,13,2803,2026-01-11,119,3
135,11,2313,2026-01-20,398,3
135,11,2313,2026-01-20,392,2
135,11,2313,2026-01-20,254,4
135,11,2313,2026-01-20,60,1
136,2,2394,2026-01-17,113,2
136,2,2394,2026-01-17,390,1
136,2,2394,2026-01-17,137,1
137,25,1835,2026-01-12,217,4
137,25,1835,2026-01-12,214,5
138,9,1554,2026-01-16,183,4
138,9,1554,2026-01-16,38,2
138,9,1554,2026-01-16,230,5
138,9,1554,2026-01-16,149,2
139,22,591,2026-01-15,375,2
140,4,1224,2026-01-14,280,1
140,4,1224,2026-01-14,136,3
141,15,2850,2026-01-16,104,5
141,15,2850,2026-01-16,105,3
141,15,2850,2026-01-16,59,2
141,15,2850,2026-01-16,8,2
141,15,2850,2026-01-16,253,1
142,21,2014,2026-01-10,104,4
142,21,2014,2026-01-10,250,3
142,21,2014,2026-01-10,67,1
142,21,2014,2026-01-10,150,3
142,21,2014,2026-01-10,224,5
143,20,263,2026-01-14,108,3
143,20,263,2026-01-14,111,4
144,12,1699,2026-01-10,315,2
144,12,1699,2026-01-10,100,3
144,12,1699,2026-01-10,293,1
144,12,1699,2026-01-10,188,3
145,7,1878,2026-01-20,271,3
145,7,1878,2026-01-20,244,2
146,9,2624,2026-01-18,9,2
146,9,2624,2026-01-18,369,1
146,9,2624,2026-01-18,296,1
146,9,2624,2026-01-18,47,4
147,6,1709,2026-01-11,99,4
147,6,1709,2026-01-11,157,2
148,27,1448,2026-01-12,38,4
148,27,1448,2026-01-12,163,5
149,17,456,2026-01-17,264,5
150,3,2739,2026-01-14,157,5
150,3,2739,2026-01-14,96,4
150,3,2739,2026-01-14,186,5
151,3,716,2026-01-15,393,4
151,3,716,2026-01-15,42,3
151,3,716,2026-01-15,394,4
152,9,1412,2026-01-17,16,1
152,9,1412,2026-01-17,130,2
152,9,1412,2026-01-17,145,4
152,9,1412,2026-01-17,94,4
152,9,1412,2026-01-17,400,4
153,3,2329,2026-01-19,201,3
153,3,2329,2026-01-19,114,3
154,8,2069,2026-01-20,400,1
154,8,2069,2026-01-20,93,5
154,8,2069,2026-01-20,160,1
154,8,2069,2026-01-20,86,5
154,8,2069,2026-01-20,264,5
155,6,1888,2026-01-15,374,3
155,6,1888,2026-01-15,231,5
155,6,1888,2026-01-15,140,3
156,13,2012,2026-01-16,149,4
156,13,2012,2026-01-16,91,4
156,13,2012,2026-01-16,161,4
156,13,2012,2026-01-16,247,2
156,13,2012,2026-01-16,92,4
157,22,2393,2026-01-18,235,2
157,22,2393,2026-01-18,56,4
157,22,2393,2026-01-18,124,2
157,22,2393,2026-01-18,111,1
158,25,325,2026-01-16,116,4
158,25,325,2026-01-16,393,2
158,25,325,2026-01-16,320,5
159,4,1784,2026-01-16,116,1
159,4,1784,2026-01-16,192,3
159,4,1784,2026-01-16,82,2
159,4,1784,2026-01-16,262,2
160,4,2784,2026-01-17,387,1
160,4,2784,2026-01-17,115,5
160,4,2784,2026-01-17,79,2
161,23,292,2026-01-18,365,3
161,23,292,2026-01-18,74,3
162,11,2970,2026-01-10,371,2
162,11,2970,2026-01-10,224,5
162,11,2970,2026-01-10,274,3
162,11,2970,2026-01-10,101,5
163,23,1118,2026-01-13,116,1
163,23,1118,2026-01-13,188,1
164,18,1436,2026-01-16,284,5
164,18,1436,2026-01-16,302,3
165,8,2982,2026-01-19,182,4
165,8,2982,2026-01-19,205,4
165,8,2982,2026-01-19,185,1
165,8,2982,2026-01-19,329,3
165,8,2982,2026-01-19,306,3
166,19,1599,2026-01-13,48,5
166,19,1599,2026-01-13,370,4
166,19,1599,2026-01-13,135,5
166,19,1599,2026-01-13,200,4
166,19,1599,2026-01-13,81,5
167,25,2579,2026-01-17,256,3
168,6,1012,2026-01-19,66,3
169,22,1381,2026-01-11,228,4
169,22,1381,2026-01-11,274,2
169,22,1381,2026-01-11,361,2
169,22,1381,2026-01-11,54,3
170,30,1017,2026-01-15,174,2
170,30,1017,2026-01-15,269,3
171,22,1003,2026-01-18,178,3
171,22,1003,2026-01-18,277,2
171,22,1003,2026-01-18,352,3
171,22,1003,2026-01-18,304,3
172,29,1772,2026-01-11,205,2
173,19,528,2026-01-15,50,3
174,18,690,2026-01-10,235,5
174,18,690,2026-01-10,287,5
174,18,690,2026-01-10,370,3
175,13,1801,2026-01-13,174,2
175,13,1801,2026-01-13,36,1
176,15,1241,2026-01-20,136,3
176,15,1241,2026-01-20,239,3
176,15,1241,2026-01-20,245,3
176,15,1241,2026-01-20,8,2
177,18,2399,2026-01-17,254,4
178,22,24,2026-01-17,167,1
179,27,735,2026-01-19,242,5
179,27,735,2026-01-19,14,1
179,27,735,2026-01-19,165,5
179,27,735,2026-01-19,24,4
180,16,587,2026-01-13,86,2
181,5,284,2026-01-19,30,2
181,5,284,2026-01-19,58,2
181,5,284,2026-01-19,237,5
181,5,284,2026-01-19,168,5
182,22,2946,2026-01-17,61,1
182,22,2946,2026-01-17,54,2
182,22,2946,2026-01-17,192,2
183,6,2709,2026-01-12,80,2
183,6,2709,2026-01-12,338,5
183,6,2709,2026-01-12,285,4
183,6,2709,2026-01-12,369,3
184,29,2141,2026-01-20,332,3
184,29,2141,2026-01-20,393,4
185,8,1545,2026-01-12,209,1
185,8,1545,2026-01-12,297,5
185,8,1545,2026-01-12,78,3
185,8,1545,2026-01-12,16,5
185,8,1545,2026-01-12,379,2
186,11,1595,2026-01-16,298,5
186,11,1595,2026-01-16,237,3
186,11,1595,2026-01-16,337,5
186,11,1595,2026-01-16,381,2
187,6,1168,2026-01-19,44,3
187,6,1168,2026-01-19,140,5
187,6,1168,2026-01-19,262,1
187,6,1168,2026-01-19,343,2
187,6,1168,2026-01-19,150,2
188,20,1616,2026-01-12,143,5
188,20,1616,2026-01-12,366,3
189,28,1431,2026-01-20,170,5
189,28,1431,2026-01-20,52,5
189,28,1431,2026-01-20,242,5
190,1,2477,2026-01-12,235,3
190,1,2477,2026-01-12,284,1
190,1,2477,2026-01-12,387,1
190,1,2477,2026-01-12,269,1
190,1,2477,2026-01-12,232,2
191,9,189,2026-01-19,242,4
191,9,189,2026-01-19,336,3
192,5,557,2026-01-18,280,5
193,25,2724,2026-01-20,234,3
193,25,2724,2026-01-20,194,1
193,25,2724,2026-01-20,170,1
193,25,2724,2026-01-20,363,1
194,18,439,2026-01-11,50,5
195,8,1890,2026-01-15,298,1
196,2,779,2026-01-11,288,2
196,2,779,2026-01-11,284,5
197,19,388,2026-01-16,107,4
197,19,388,2026-01-16,389,1
198,20,1317,2026-01-14,289,2
199,25,2172,2026-01-16,339,4
199,25,2172,2026-01-16,177,5
200,11,43,2026-01-11,239,3
200,11,43,2026-01-11,281,1
201,23,1898,2026-01-16,308,1
201,23,1898,2026-01-16,219,2
201,23,1898,2026-01-16,99,3
201,23,1898,2026-01-16,293,2
202,29,137,2026-01-15,224,3
202,29,137,2026-01-15,64,3
202,29,137,2026-01-15,170,4
202,29,137,2026-01-15,157,4
203,13,110,2026-01-16,45,2
203,13,110,2026-01-16,219,5
203,13,110,2026-01-16,355,2
204,9,1455,2026-01-15,189,1
204,9,1455,2026-01-15,159,5
204,9,1455,2026-01-15,235,1
205,14,85,2026-01-14,106,1
205,14,85,2026-01-14,251,3
205,14,85,2026-01-14,93,1
206,13,122,2026-01-20,337,5
207,15,626,2026-01-20,191,2
207,15,626,2026-01-20,212,3
207,15,626,2026-01-20,10,4
207,15,626,2026-01-20,199,5
207,15,626,2026-01-20,78,1
208,1,1180,2026-01-17,117,3
209,10,1841,2026-01-12,63,4
209,10,1841,2026-01-12,362,4
209,10,1841,2026-01-12,117,1
210,7,2892,2026-01-15,222,3
210,7,2892,2026-01-15,127,4
210,7,2892,2026-01-15,234,5
211,25,678,2026-01-14,131,5
211,25,678,2026-01-14,312,2
211,25,678,2026-01-14,271,4
211,25,678,2026-01-14,254,5
212,27,2668,2026-01-15,373,2
212,27,2668,2026-01-15,322,3
212,27,2668,2026-01-15,191,1
212,27,2668,2026-01-15,218,1
213,30,2316,2026-01-11,90,2
214,10,1817,2026-01-15,352,1
214,10,1817,2026-01-15,258,5
214,10,1817,2026-01-15,295,2
214,10,1817,2026-01-15,155,4
214,10,1817,2026-01-15,95,1
215,17,2868,2026-01-14,227,1
215,17,2868,2026-01-14,267,1
215,17,2868,2026-01-14,340,3
215,17,2868,2026-01-14,123,4
216,30,498,2026-01-19,337,5
216,30,498,2026-01-19,261,4
216,30,498,2026-01-19,282,2
216,30,498,2026-01-19,215,4
217,27,2765,2026-01-20,209,1
218,14,2245,2026-01-13,167,3
219,17,2780,2026-01-15,26,3
219,17,2780,2026-01-15,74,2
220,13,2090,2026-01-20,346,4
220,13,2090,2026-01-20,387,1
220,13,2090,2026-01-20,203,1
220,13,2090,2026-01-20,245,2
220,13,2090,2026-01-20,383,3
221,1,2975,2026-01-18,26,5
222,18,1860,2026-01-13,182,1
222,18,1860,2026-01-13,159,2
222,18,1860,2026-01-13,197,3
222,18,1860,2026-01-13,234,1
222,18,1860,2026-01-13,373,1
223,22,2380,2026-01-14,235,1
223,22,2380,2026-01-14,238,3
223,22,2380,2026-01-14,302,5
223,22,2380,2026-01-14,213,2
224,24,1636,2026-01-13,235,3
224,24,1636,2026-01-13,106,4
225,6,2047,2026-01-13,307,1
225,6,2047,2026-01-13,39,2
225,6,2047,2026-01-13,127,5
226,22,685,2026-01-15,143,3
227,8,2453,2026-01-17,277,2
227,8,2453,2026-01-17,261,3
227,8,2453,2026-01-17,290,3
227,8,2453,2026-01-17,301,1
227,8,2453,2026-01-17,228,5
228,7,1444,2026-01-15,377,1
228,7,1444,2026-01-15,376,3
229,6,412,2026-01-12,356,3
229,6,412,2026-01-12,249,4
229,6,412,2026-01-12,19,2
229,6,412,2026-01-12,251,3
230,21,2932,2026-01-20,195,1
230,21,2932,2026-01-20,179,3
230,21,2932,2026-01-20,214,4
230,21,2932,2026-01-20,250,1
231,4,1548,2026-01-15,122,5
231,4,1548,2026-01-15,130,2
231,4,1548,2026-01-15,53,2
231,4,1548,2026-01-15,59,4
231,4,1548,2026-01-15,164,1
232,2,2840,2026-01-12,43,2
232,2,2840,2026-01-12,170,2
232,2,2840,2026-01-12,339,1
232,2,2840,2026-01-12,276,3
232,2,2840,2026-01-12,132,1
233,23,1647,2026-01-20,364,1
234,16,1687,2026-01-19,229,4
234,16,1687,2026-01-19,344,2
235,18,56,2026-01-14,45,5
235,18,56,2026-01-14,356,2
235,18,56,2026-01-14,373,3
235,18,56,2026-01-14,348,4
236,2,804,2026-01-11,152,1
236,2,804,2026-01-11,330,2
236,2,804,2026-01-11,25,3
236,2,804,2026-01-11,363,2
236,2,804,2026-01-11,185,1
237,19,2850,2026-01-19,164,5
237,19,2850,2026-01-19,173,5
237,19,2850,2026-01-19,27,5
237,19,2850,2026-01-19,70,1
238,8,2023,2026-01-12,35,1
238,8,2023,2026-01-12,60,2
239,12,356,2026-01-11,283,4
240,8,1923,2026-01-18,319,1
240,8,1923,2026-01-18,379,4
240,8,1923,2026-01-18,7,1
240,8,1923,2026-01-18,92,3
241,19,456,2026-01-20,89,3
241,19,456,2026-01-20,90,2
241,19,456,2026-01-20,297,4
241,19,456,2026-01-20,69,3
241,19,456,2026-01-20,219,5
242,2,1447,2026-01-20,344,1
242,2,1447,2026-01-20,168,2
243,11,1958,2026-01-10,147,3
243,11,1958,2026-01-10,189,5
243,11,1958,2026-01-10,260,1
244,5,171,2026-01-17,186,1
245,19,2410,2026-01-14,100,5
245,19,2410,2026-01-14,257,1
246,22,651,2026-01-13,324,2
247,21,277,2026-01-17,155,3
247,21,277,2026-01-17,218,5
248,28,2358,2026-01-17,34,4
248,28,2358,2026-01-17,34,3
248,28,2358,2026-01-17,397,5
249,17,125,2026-01-16,197,3
250,22,1400,2026-01-20,398,4
251,14,1580,2026-01-18,384,5
251,14,1580,2026-01-18,186,5
252,30,697,2026-01-12,325,2
252,30,697,2026-01-12,260,3
252,30,697,2026-01-12,211,5
252,30,697,2026-01-12,230,5
253,13,2619,2026-01-18,316,5
253,13,2619,2026-01-18,210,5
253,13,2619,2026-01-18,120,2
254,4,2639,2026-01-13,400,5
254,4,2639,2026-01-13,368,1
254,4,2639,2026-01-13,282,1
254,4,2639,2026-01-13,233,3
255,25,713,2026-01-16,95,5
256,29,570,2026-01-18,133,5
257,23,107,2026-01-19,310,1
257,23,107,2026-01-19,41,1
257,23,107,2026-01-19,173,1
257,23,107,2026-01-19,86,3
257,23,107,2026-01-19,294,3
258,1,2,2026-01-11,360,2
258,1,2,2026-01-11,152,2
258,1,2,2026-01-11,40,2
258,1,2,2026-01-11,344,3
259,6,8,2026-01-17,293,4
259,6,8,2026-01-17,307,4
259,6,8,2026-01-17,364,1
260,18,740,2026-01-13,107,2
260,18,740,2026-01-13,245,4
260,18,740,2026-01-13,284,5
260,18,740,2026-01-13,305,1
261,29,613,2026-01-18,67,1
262,11,2352,2026-01-19,123,5
262,11,2352,2026-01-19,366,2
262,11,2352,2026-01-19,107,5
262,11,2352,2026-01-19,130,1
263,6,900,2026-01-11,133,2
263,6,900,2026-01-11,91,3
263,6,900,2026-01-11,86,5
263,6,900,2026-01-11,117,4
264,13,1841,2026-01-16,10,5
264,13,1841,2026-01-16,299,4
265,3,2165,2026-01-19,231,3
266,21,2624,2026-01-13,63,2
266,21,2624,2026-01-13,162,1
266,21,2624,2026-01-13,202,4
267,23,2426,2026-01-19,78,1
267,23,2426,2026-01-19,103,1
267,23,2426,2026-01-19,271,4
267,23,2426,2026-01-19,190,5
268,8,680,2026-01-17,277,2
268,8,680,2026-01-17,348,4
268,8,680,2026-01-17,284,5
269,24,641,2026-01-18,270,2
270,20,2451,2026-01-20,378,1
270,20,2451,2026-01-20,263,3
270,20,2451,2026-01-20,257,5
270,20,2451,2026-01-20,5,1
271,17,2384,2026-01-16,138,5
271,17,2384,2026-01-16,259,4
271,17,2384,2026-01-16,128,2
272,23,2151,2026-01-20,299,3
272,23,2151,2026-01-20,50,5
272,23,2151,2026-01-20,212,3
273,25,753,2026-01-17,127,2
